-128, 0, -22, -2, -1, -2
-81, -32, -23, 0, -1, 0
-82, 0, -10, 1, 0, 0
-114, 94, -103, 8, -2, 0
-80, 58, -4, -1, -1, -1
-109, 1, -22, -1, 0, 0
-90, 6, 27, -2, 0, -1
-163, -461, 798, 25, 2, 10
1959, -1810, -560, 122, 52, 141
1508, -2323, -1838, 81, 38, 49
107, 568, 313, -61, 2, 8
2969, -1692, 1385, 16, 18, -54
-3705, -2383, -3935, -62, -55, -16
-597, -640, 4751, -16, 27, 79
1005, -822, -1803, 8, -14, 4
-759, 7, 2989, 15, -30, -70
-1589, -1396, 282, 76, 17, -10
811, -2636, -2990, -20, 49, 58
3404, -410, 1863, -50, -34, -26
-3227, 977, -1093, -33, 12, -29
-825, -34, 338, -49, 7, 28
2859, -2145, 5910, 128, 37, 48
1866, -2244, -2743, 64, -34, -34
-4142, -1659, -2711, -84, -68, -15
3462, 44, 6537, 17, -19, 108
547, -521, -1117, -33, 17, -16
-3067, -1248, 4018, 90, -21, -64
-797, -2606, -54, 73, 59, 3
2766, -2158, -1765, -42, 36, 52
3042, 549, 4253, -61, -48, -61
-3819, -1342, -1950, 8, 15, -14
157, -677, 3704, -24, -18, 106
3685, -2813, 38, 68, 35, -12
-412, -3084, -3253, 53, -66, -63
-3999, -2017, 986, -109, -25, 35
3938, 389, 195, 35, 8, 24
2964, 98, 596, -35, 0, -60
-2676, -3108, 1927, 118, 39, -45
1173, -3204, -3976, 2, 94, 83
4815, -983, -906, -151, -22, -7
-5514, -3149, 3908, 59, -18, -85
779, 505, 1455, -6, -6, 9
313, -2236, 1516, -47, -5, 95
4302, -3977, 956, 149, 21, -17
-58, -2171, -3709, -1, -76, -63
-2632, -1362, 315, -85, -47, 27
2282, 459, 3724, -41, -39, 83
738, -561, -555, 15, 23, -6
-1272, -605, 2949, 18, -44, -86
-1245, -3566, 903, 88, 61, -14
725, -1755, -2018, -87, 34, 61
4365, 661, 642, -48, -55, -12
-2432, -1396, 1778, 31, -9, -59
158, 245, 415, -6, -4, 3
196, -700, 1368, 11, 21, 80
2999, -2905, 986, 89, 26, 8
-541, -3019, -2213, -10, -95, -45
-3117, -1456, -302, -124, -49, 16
1246, -288, 3010, -40, 18, 76
2391, -113, -1313, 2, -23, -28
-3136, -1602, 5476, 134, 7, -69
-1387, -5415, -3653, 75, 106, 19
4280, -146, -208, -68, -4, 35
463, -608, 3500, -8, -23, -79
-2787, -470, -417, -26, 6, 22
3632, -1451, 4746, 83, 34, 63
3111, -3722, -1700, 120, -55, -34
-2311, -3377, -1197, -42, -33, -59
-2924, 690, 4323, -107, -19, 80
3325, 315, -389, 6, 6, 8
177, -353, 3899, -37, -17, -86
-1557, -2811, -1740, 57, 73, -3
