45, 20, 56, -5, 2, 2
-88, -16, 5, -2, -1, -1
48, -3, -66, 0, -2, -2
28, -19, 59, -5, 0, 1
7, 36, -5, 0, -1, -1
25, -37, -20, 0, -1, -1
22, 65, 29, -1, 0, 0
38, 44, -22, -2, -1, -1
4735, -4326, 976, 4, 72, 200
4915, -470, -3012, 60, 69, 157
1872, 1754, -247, -27, -22, 72
2139, 872, 137, 16, 32, -141
-391, -3789, -1919, 28, 14, -42
1329, -698, -218, -19, -19, 123
1166, 1336, 495, -61, -31, 92
2036, 1090, 256, 10, 35, -119
726, -944, -956, 23, 22, -94
392, -1767, -376, 8, -4, 90
1727, -163, 365, -15, -16, 110
1300, 1918, 1424, 40, 22, -82
1646, -354, -312, -3, 28, -106
-898, -3430, -587, 34, -8, 9
1349, -899, -226, -18, -6, 123
1251, 2355, 1477, -14, -16, 30
2196, 82, 228, -14, 40, -119
-314, -2954, -1520, 19, 2, -39
523, -1489, -408, -21, -12, 112
1559, 1112, 838, -42, -22, 59
1810, 1392, 873, -6, 38, -104
892, -2461, -822, 64, -3, -98
986, -799, -423, -37, 3, 117
1674, 994, 277, -82, -24, 83
1761, 949, -85, -8, 5, -120
51, -3347, -554, 25, 6, -43
1567, -1062, -857, -18, -11, 140
1507, 3418, 2577, 10, 11, -35
1969, -1171, -388, 9, 17, -125
505, -2878, -329, 4, 9, 113
1670, 1822, 341, -36, -34, 88
2074, 566, 192, 0, 31, -133
-192, -2949, -764, 13, 1, -27
1091, -1217, -5, -13, 4, 150
1616, 3234, 1887, 1, 6, -17
2170, -122, -374, -8, 26, -143
-432, -3820, -1293, 43, -6, 58
1843, -360, -88, -36, 0, 132
1427, 3065, 2249, 25, 6, -62
2076, -251, -424, 15, 25, -137
-714, -3435, -325, 20, 12, 55
1737, -263, -259, -38, -9, 124
1190, 2787, 1518, 16, 21, -60
1872, -175, -361, -9, 32, -126
-598, -3933, -1923, 69, -16, 38
1676, -358, -465, -26, -6, 124
1116, 2889, 1776, 2, -5, -13
1607, 115, 84, -17, 21, -108
993, -1649, -490, 12, 19, -69
654, -1381, -390, 27, -4, 117
1802, 819, 63, -58, -32, 106
1855, 655, 155, -29, 23, -110
1125, -406, -897, -16, 53, -102
309, -2209, -711, 38, -14, 94
1900, 364, 146, -49, -10, 118
1605, 1987, 1218, 12, 25, -108
1649, -186, -526, 3, 6, -122
-503, -2544, -550, 2, -9, 64
2434, -508, -407, -23, -20, 119
1372, 2770, 1531, 21, 10, -74
1814, -332, -193, 18, 39, -113
-761, -2450, -897, 21, -14, 31
1064, -630, -170, -11, -12, 111
1127, 1517, 472, -28, -37, 54
1630, 202, 5, -10, 37, -116
102, -2184, -1196, 5, 19, -54
1032, -979, -517, 7, -23, 116
972, 1130, -51, -41, -34, 71
1289, 878, 669, -2, 17, -98
385, -115, -463, -7, 32, -81
-310, -2427, -266, 3, 3, 70
1810, -493, -532, -18, -20, 125
1362, 1985, 919, 1, 11, -82
1262, 116, -336, 1, 28, -101
-313, -2079, -482, 6, -14, 65
1305, -307, -335, 0, -16, 98
489, 2941, 1451, 2, 5, -14
1355, 29, -194, 13, 22, -106
-499, -2687, -581, 34, 2, -23
1448, -450, -338, -20, 0, 118
966, 1774, 927, -30, -22, 56
1676, 235, -365, -28, 23, -111
648, -1007, -584, -7, 6, -92
731, -1614, -59, 37, 11, 97
1485, 372, -689, -43, -10, 117
1066, 1541, 834, 36, 2, -87
857, 248, -527, -4, 23, -95
-227, -3362, -588, 31, 5, 9
1137, -352, -362, -21, -2, 112
927, 1435, 366, -25, -11, 64
1147, 1239, 577, -2, 16, -93
714, 97, -688, -29, -9, -96
171, -2428, -311, 13, -2, 69
1318, -47, -1, -10, -2, 106
1023, 2323, 1180, 28, 14, -66
1299, -243, -334, 7, -3, -118
-201, -2931, -110, 20, 0, 37
1479, -238, -480, 8, -2, 116
705, 2088, 792, 1, -2, -3
1478, 147, -121, -5, 16, -103
336, -1511, -400, -10, -2, -63
820, -1818, -358, 31, 0, 83
1520, 435, -142, -6, 9, 109
1034, 1711, 304, 8, 1, -87
1271, 117, -632, -34, 1, -114
-170, -2341, -253, 26, -6, 55
1755, -348, -226, 33, 2, 133
1083, 1823, 380, 34, 1, -82
1228, -230, -298, -14, -4, -88
-123, -2646, -491, 3, 3, 3
1278, -487, -510, 7, -11, 110
445, 1787, 445, -28, 1, 50
1511, 986, 36, -19, 18, -106
1411, -1428, -386, 14, 7, -96
1210, -2050, -53, 48, 5, 107
1180, 1401, -293, -16, 11, 104
1050, 1280, 229, -37, -1, -92
1114, 700, -508, -44, 13, -104
38, -2674, -302, 19, -4, 49
1527, 27, -459, 30, 8, 120
1011, 1974, 793, 22, 0, -65
1178, 590, -140, -1, 2, -105
1400, -1860, -360, -1, 9, -76
974, -1566, -181, 29, 4, 93
1712, -254, 284, 17, 26, 116
664, 1237, 541, 50, -19, -77
976, 602, -196, -20, -10, -87
837, -2884, -246, 0, 4, -13
1331, -424, -605, 23, 2, 105
398, 369, 3, -18, 22, 84
543, 1112, 232, 30, -14, -64
641, 596, -261, -12, -6, -76
874, -1084, -232, -53, 15, -61
639, -1267, -292, 41, 0, 97
1097, 736, -198, -44, 6, 83
703, 1568, 242, -3, 5, -74
720, 505, -108, -3, -5, -88
479, -2406, -373, 6, 2, -7
1173, -468, -280, 12, 6, 107
479, 2409, -120, -57, 12, 59
698, 1389, -82, -19, -5, -94
1089, -282, -140, -23, 2, -101
426, -1938, -198, 33, 3, 60
1266, -253, -7, 40, 22, 106
451, 3162, -78, -26, 5, -24
1149, 339, -576, -18, -10, -111
899, -1557, 70, 20, -11, -68
778, -1294, 15, 21, 17, 88
848, 296, -233, -34, 12, 99
760, 1646, 555, 22, 9, -38
1049, 229, -373, -2, -7, -106
885, -1697, -145, 0, 9, -60
833, -1481, -147, 32, 6, 86
1099, 119, 72, -4, 18, 91
599, 2185, 484, 31, 7, -40
1142, 195, -372, 8, -8, -106
298, -2063, -174, 9, -4, -30
876, -1157, -333, 18, 3, 89
957, 458, 116, 11, 22, 90
912, 1790, 397, 13, 1, -63
1091, 602, -322, 0, -9, -112
-68, -2396, 56, -24, 15, -12
1107, -423, -112, 19, 6, 97
1088, 187, 92, -16, 13, 96
773, 1934, -197, -2, -8, -85
879, 384, -532, -21, 6, -96
7, -2521, -66, 14, 3, 22
1175, -493, -421, 25, 9, 110
949, 1687, 174, -23, 11, 55
1162, 1355, -306, -38, 5, -108
497, -373, -557, 21, -1, -75
6, -1869, -115, 8, 0, 35
1017, -291, -186, 29, 16, 103
559, 897, 420, -2, -2, 38
1211, 1586, -232, -33, -13, -102
1295, -209, -416, -56, -1, -102
385, -2094, -42, 42, 4, 58
1135, 56, 113, 22, 39, 101
577, 2300, 31, -11, -1, -17
1011, 289, -60, 8, 7, -97
1485, -2380, -343, 25, -4, -62
951, -1042, -172, 1, 12, 112
1060, 313, 68, -27, 10, 103
1271, 1632, 212, 29, -5, -93
900, -119, 308, 22, 17, -100
-539, -2363, 129, 9, -1, 22
1432, -454, 159, -10, 11, 99
258, 2791, -396, -59, 10, 43
1212, 256, 86, -3, 4, -100
1276, -1766, -696, 54, -5, -85
907, -1784, -59, 45, 14, 83
1091, 531, -260, -30, 20, 98
605, 1991, -118, -6, -8, -60
655, 243, -310, 8, -14, -81
1066, -2460, -119, 12, -1, -18
848, -856, -382, 16, 15, 101
669, 850, 135, -40, 1, 85
808, 1194, 1, 5, -17, -92
1172, 329, -60, -6, 7, -95
454, -1922, 0, 22, 9, 70
1086, -147, -258, 11, 11, 97
499, 2637, 389, -11, 9, 3
930, 320, 191, -41, 9, -89
274, -254, -74, -10, 4, -67
95, -2017, -218, 23, -4, 58
1257, 100, -438, 20, -1, 88
193, 2563, 440, 4, 7, -12
1122, 771, -262, -1, -1, -107
649, -2562, -83, 4, 1, -14
1051, -836, -347, 4, 16, 97
603, 653, -441, -26, 18, 87
756, 1529, 295, -7, -8, -90
1126, -169, 65, -25, -8, -96
225, -1915, 522, 14, 14, 55
1041, -234, -167, 25, 12, 88
423, 2615, 576, -2, 5, 10
1149, 34, -243, 1, -6, -96
1291, -2409, 141, 17, 4, -62
992, -1986, 212, 17, 24, 103
1212, 1355, -210, -22, 12, 100
1029, 1775, -474, -58, -17, -95
1425, -110, -104, -32, -14, -105
366, -1899, -115, 26, 6, 40
1214, -264, -375, 15, 14, 110
-77, 2703, -71, -26, -1, 13
1015, 335, -168, 0, -22, -102
795, -536, 339, -9, 7, -66
852, -1880, 406, 19, 19, 88
863, 743, -383, -18, 25, 90
340, 2711, -224, 3, -3, -67
1321, 35, -201, -26, -12, -104
295, -2445, 23, 15, 2, 34
1287, -286, -603, 10, 9, 106
352, 3235, -126, 7, 6, -36
1089, 304, -177, -14, -14, -104
1476, -1600, -85, 4, 3, -39
1070, -853, -332, 19, 22, 102
337, 1204, -277, -17, 9, 93
956, 646, -217, -27, -1, -99
1005, 118, -257, -25, 3, -103
718, -2321, -13, 8, 4, 66
1169, 141, -955, -5, -1, 100
172, 3370, 1073, 8, 12, -18
1132, 215, -133, -10, -3, -100
1364, -2009, 223, -16, 21, -40
